name,sortBy,nameEntry,tagEntry,teacherEntry,dateText,dateKnown,tag,supertag,attributionName,group,lineage,indexExcerpts,indexSessions,searchable,teacherPage,attribute,allowTag
Ajahn Sudanto,"(445, 1994.332)",True,False,True,28 Nov 1994,exactDate,,,Ajahn Sudanto,Monastics,Western disciples of Ajahn Chah,False,False,False,False,True,False
Abhayagiri Saṅgha,"(445, 1996.18)",True,False,True,1996,knownYear,,,Abhayagiri Saṅgha,Communities,Western disciples of Ajahn Chah,True,True,True,True,True,True
Ajahn Mahā Adisak Dhammābhinando,"(445, 1997.18)",True,True,False,1997,estimatedYear,Ajahn Mahā Adisak,Ajahn Chah lineage,,,,,,,,,
Ajahn Siripañño,"(445, 1998.028)",True,True,False,28 Jan 1998,exactDate,Ajahn Siripañño,Ajahn Chah lineage,,,,,,,,,
Ajahn Karuṇadhammo,"(445, 1998.13)",True,False,True,10 May 1998,exactDate,,,Ajahn Karuṇadhammo,Monastics,Western disciples of Ajahn Chah,True,True,True,True,True,False
Ajahn Kevali,"(445, 1998.185)",True,True,False,4 Jul 1998,exactDate,Ajahn Kevali,Ajahn Chah lineage,,,,,,,,,
Ajahn Jotipālo,"(445, 2000.169)",True,True,True,17 Jun 2000,exactDate,Ajahn Jotipālo,Ajahn Chah lineage,Ajahn Jotipālo,Monastics,Western disciples of Ajahn Chah,True,True,True,True,True,True
Ajahn Ñāṇiko,"(445, 2003.194)",True,True,True,13 Jul 2003,exactDate,Ajahn Ñāṇiko,Ajahn Chah lineage,Ajahn Ñāṇiko,Monastics,Western disciples of Ajahn Chah,True,True,True,True,True,True
Ajahn Pavaro,"(445, 2003.334)",True,True,False,30 Nov 2003,exactDate,Ajahn Pavaro,Ajahn Chah lineage,,,,,,,,,
Ajahn Kassapo,"(445, 2007.195)",True,False,True,14 Jul 2007,exactDate,,,Ajahn Kassapo,Monastics,Western disciples of Ajahn Chah,True,False,False,False,True,False
Ajahn Cunda,"(445, 2008.143)",True,False,True,22 May 2008,exactDate,,,Ajahn Cunda,Monastics,Western disciples of Ajahn Chah,True,False,True,False,True,False
Ajahn Kaccāna,"(445, 2008.3)",True,False,True,26 Oct 2008,exactDate,,,Ajahn Kaccāna,Monastics,Western disciples of Ajahn Chah,True,False,True,False,True,False
Ajahn Kovilo,"(445, 2010.199)",True,False,True,18 Jul 2010,exactDate,,,Ajahn Kovilo,Monastics,Western disciples of Ajahn Chah,True,False,False,False,True,False
Tan Jāgaro,"(445, 2016.157)",True,False,True,5 Jun 2016,exactDate,,,Tan Jāgaro,Monastics,Western disciples of Ajahn Chah,False,False,False,False,True,False
Ajahn Ahiṃsako,"(445, 9999.0)",False,False,True,,unknown,,,Ajahn Ahiṃsako,Monastics,Western disciples of Ajahn Chah,True,False,True,False,True,False
Ajahn Ṭhitapañño,"(445, 9999.0)",False,False,True,,unknown,,,Ajahn Ṭhitapañño,Monastics,Western disciples of Ajahn Chah,True,False,True,False,True,False
Ajahn Pesalo,"(445, 9999.0)",False,False,True,,unknown,,,Ajahn Pesalo,Monastics,Western disciples of Ajahn Chah,True,False,True,False,True,False
Ajahn Suhajjo,"(445, 9999.0)",False,False,True,,unknown,,,Ajahn Suhajjo,Monastics,Western disciples of Ajahn Chah,True,False,False,False,False,False
Ajahn Sudhīro,"(445, 9999.0)",False,False,True,,unknown,,,Ajahn Sudhīro,Monastics,Western disciples of Ajahn Chah,False,False,False,False,False,False
Ajahn Vajirayan Vajirañāno,"(481, 1824.18)",True,True,False,1824,knownYear,Ajahn Vajirayan,Other Thai Forest teachers,,,,,,,,,
Ajahn Waen Suciṇṇo,"(481, 1907.18)",True,True,False,1907,knownYear,Ajahn Waen,Other Thai Forest teachers,,,,,,,,,
Ajahn Dune Atulo,"(481, 1910.18)",True,True,True,1910,knownYear,Ajahn Dune,Other Thai Forest teachers,Ajahn Dune,Monastics,Other Thai Forest,True,True,True,True,True,True
Ajahn Tongrat Kantasīlo,"(481, 1916.17)",True,True,False,1916,knownYear,Ajahn Tongrat,Other Thai Forest teachers,,,,,,,,,
Ajahn Kinaree Candiyo,"(481, 1916.18)",True,True,False,1916,knownYear,Ajahn Kinaree,Other Thai Forest teachers,,,,,,,,,
Ajahn Supah Kantasīlo,"(481, 1916.18)",True,True,False,1916,knownYear,Ajahn Supah,Other Thai Forest teachers,,,,,,,,,
Ajahn Khao Anālayo,"(481, 1919.122)",True,True,False,May 2 1919,exactDate,Ajahn Khao,Other Thai Forest teachers,,,,,,,,,
Ajahn Fun Ācāro,"(481, 1919.18)",True,True,False,1919,knownYear,Ajahn Fun,Other Thai Forest teachers,,,,,,,,,
Ajahn Tate Desaransi,"(481, 1923.136)",True,True,False,16 May 1923,exactDate,Ajahn Tate,Other Thai Forest teachers,,,,,,,,,
Ajahn Chorp Ṭhānasamo,"(481, 1924.081)",True,True,False,21 Mar 1924,exactDate,Ajahn Chorp,Other Thai Forest teachers,,,,,,,,,
Ajahn Buddhadāsa Indapañño,"(481, 1926.21)",True,True,True,29 July 1926,exactDate,Ajahn Buddhadāsa,Other Thai Forest teachers,Ajahn Buddhadāsa,Monastics,Other Thai Forest,True,True,True,True,True,True
Ajahn Lee Dhammadharo,"(481, 1927.147)",True,True,True,27 May 1927,exactDate,Ajahn Lee Dhammadharo,Other Thai Forest teachers,Ajahn Lee Dhammadharo,Monastics,Other Thai Forest,True,True,True,True,True,True
Ajahn Sim Buddhacaro,"(481, 1929.197)",True,True,True,16 Jul 1929,exactDate,Ajahn Sim,Other Thai Forest teachers,Ajahn Sim,Monastics,Other Thai Forest,True,True,True,True,True,True
Ajahn Paññānanda Padumuttaro,"(481, 1931.18)",True,True,False,1931,knownYear,Ajahn Paññānanda,Other Thai Forest teachers,,,,,,,,,
Ajahn Mahā Boowa Ñāṇasampanno,"(481, 1934.132)",True,True,True,12 May 1934,exactDate,Ajahn Mahā Boowa,Other Thai Forest teachers,Ajahn Mahā Boowa,Monastics,Other Thai Forest,True,True,True,True,True,True
Ajahn Fuang Jotiko,"(481, 1935.18)",True,True,False,1935,knownYear,Ajahn Fuang,Other Thai Forest teachers,,,,,,,,,
Ajahn Jia Cundo,"(481, 1937.192)",True,True,False,11 July 1937,exactDate,Ajahn Jia,Other Thai Forest teachers,,,,,,,,,
Mae Chee Kaew,"(481, 1938.197)",True,True,False,July 1938,knownMonth,Mae Chee Kaew,Other Thai Forest teachers,,,,,,,,,
Ajahn Suwat Suvaco,"(481, 1939.18)",True,True,True,1939,knownYear,Ajahn Suwat,Other Thai Forest teachers,Ajahn Suwat,Monastics,Other Thai Forest,True,True,True,True,True,True
Ajahn Gi Dhammuttamo,"(481, 1947.18)",True,True,True,1947,estimatedYear,Ajahn Gi,Other Thai Forest teachers,Ajahn Gi,Monastics,Other Thai Forest,True,True,True,True,True,True
Ajahn Baen Dhanākaro,"(481, 1948.145)",True,True,True,24 May 1948,exactDate,Ajahn Baen,Other Thai Forest teachers,Ajahn Baen,Monastics,Other Thai Forest,True,True,True,True,True,True
Ajahn Plien Paññapatipo,"(481, 1959.046)",True,True,True,15 Feb 1959,exactDate,Ajahn Plien,Other Thai Forest teachers,Ajahn Plien,Monastics,Other Thai Forest,True,True,True,True,True,True
Ajahn Teean Cittasubho,"(481, 1960.034)",True,True,True,3 Feb 1960,exactDate,Ajahn Teean,Other Thai Forest teachers,Ajahn Teean,Monastics,Other Thai Forest,True,True,True,True,True,True
Ajahn Khantipālo,"(481, 1961.18)",True,True,False,1961,knownYear,Ajahn Khantipālo,Other Thai Forest teachers,,,,,,,,,
Ajahn Sanong Katapuñño,"(481, 1964.12)",True,True,False,29 Apr 1964,exactDate,Ajahn Sanong,Other Thai Forest teachers,,,,,,,,,
Ajahn Wanchai Vicitto,"(481, 1969.18)",True,True,True,1969,estimatedYear,Ajahn Wanchai,Other Thai Forest teachers,Ajahn Wanchai,Monastics,Other Thai Forest,False,False,True,True,True,True
Ajahn Ṭhānissaro,"(481, 1976.312)",True,True,True,7 Nov 1976,exactDate,Ajahn Ṭhānissaro,Other Thai Forest teachers,Ajahn Ṭhānissaro,Monastics,Other Thai Forest,False,False,True,True,True,True
Ajahn Sīlaratano,"(481, 1977.111)",True,False,True,21 April 1977,exactDate,,,Ajahn Sīlaratano,Monastics,Other Thai Forest,False,False,True,True,True,True
Ajahn Mahā Chatchai,"(481, 1977.18)",True,True,False,1977,knownYear,Ajahn Mahā Chatchai,Other Thai Forest teachers,,,,,,,,,
Ajahn Tong Jan Buddhañāno,"(481, 1978.18)",True,False,True,1978,estimatedYear,,,Ajahn Tong Jan,Monastics,Other Thai Forest,True,True,True,True,True,True
