fTagOrder	excerpt	duration	kind	text
70	Chah2001_S19_F03	4:11	Story	Ajahn Sundarā stays with a nun who lived at Wat Pah Pong with Ajahn...
100	Anniversary2021_S19_F02	4:17	Question	Thank you for your talk today. You mentioned giving the opportunity...

Subtopic tags:
Women's monastic forms
Bhikkhunī
Sīladharā
Mae Chee
