Modified:,2023,,,,,,,,
Full Name,Alphabetize,Alphabetize2,Sort by,Exact date,Known month,Known year,Estimated year,Tweak,Duplicate
Gail Kappel,"Kappel, Gail",,,,,,,,
S. N. Goenka,"Goenka, S. N.",,1924.03,30 January 1924,,,,,
Ram Dass,,,1931.096,6 April 1931,,,,,
Maurice Walsh,"Walsh, Maurice",,1911.18,,,1911,,,
Paul Breiter,"Breiter, Paul",,1948.18,,,1948,,,
Joseph Kappel,"Kappel, Joseph",,1948.18,,,,1948,,
,,,,,,,,,
Mahatma Gandhi,,,1869.18,,,1869,,,
Dipa Ma,,,1911.084,25 March 1911,,,,,
Ruth Denison,,,1956.184,2 July 1956,,,,,
Kittisaro,,,1953.18,,,,1953,,
Ṭhanissarā,,,1955.18,,,,1955,,
,,,,,,,,,
,,,,,,,,,
Wat Nong Pah Pong,,,1954.18,,,1954,,,
Wat Tam Saeng Pet,,,1969.18,,,1969,,,
Wat Keun,,,1970.18,,,1970,,,
Wat Pah Nanachat,,,1975.18,,,1975,,,
Dtao Dtum Monastery,,,1989.18,,,,1989,,
Poo Jum Gom Monastery,,,1990.18,,,1990,,,
Anandagiri Monastery,,,2008.18,,,,2008,,
,,,,,,,,,
Cittaviveka Monastery,,,1979.18,,,1979,,,
Amaravati Monastery,,,1984.18,,,1984,,,
Aruna Ratanagiri Monastery,,,1981.18,,,1981,,,
Tisarana Monastery,,,2006.18,,,2006,,,
,,,,,,,,,
Abhayagiri Monastery,,,1996.156,4 June 1996,,,,,
Pacific Hermitage,,,2010.18,,,2010,,,
,,,,,,,,,
Wat Khao Wongkot,,,1940.18,,,,1940,,
Wat Pah Ban Tat,,,1955.18,,,1955,,,
Wat Buridat,,,,,,,,,
Wat Asokaram,,,1962.128,May 8 1962,,,,,
Wat Metta,,,1990.18,,,1990,,,
Wat Suan Mokkh,,,1932.18,,,1932,,,
Wat Burapha,,,1890.18,,,,1890,,
,,,,,,,,,
City of Ten Thousand Buddhas,,,1974.18,,,1974,,,
,,,,,,,,,
Dhammadharini Monastery,,,2005.228,,August 2005,,,,
Karuna Buddhist Vihara,,,2012.18,,,2012,,,
,,,,,,,,,
,,,,,,,,,
Insight Meditation Society,,,1975.18,,,1975,,,
Spirit Rock Meditation Center,,,1985.18,,,1985,,,
Panyaprateep School,,,2005.18,,,,2005,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ajahn Chah lineage,Ajahn Chah lineage,,,,,,,,
Ajahn Chah Remembrance Day,Ajahn Chah Remembrance Day,,,,,,,,
